AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper,class
0.0,0.0,0.0,0.0,0.0,0.45,0.86,0.53,0.53,0.0,0.53,0.0,0.53,1.39,1.17,0.3,Negative
0.4,0.0,0.73,0.0,0.58,0.35,0.88,0.0,0.0,0.0,0.53,0.0,0.93,0.88,1.28,0.98,Negative
0.0,0.0,0.0,0.2,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,2.16,1.96,0.0,0.2,Negative
0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.0,0.0,0.0,2.12,2.34,0.22,0.0,Negative
0.0,0.0,0.0,2.01,0.0,1.34,1.09,0.63,0.86,0.28,0.58,0.63,2.01,2.29,1.96,1.67,Negative
0.97,0.0,0.0,0.15,0.93,1.45,2.09,0.0,0.0,0.0,0.64,0.0,0.92,2.31,2.67,1.28,Negative
0.17,0.0,0.0,0.28,0.0,4.19,0.92,0.0,0.0,0.0,0.0,0.0,4.19,3.91,1.08,0.45,Negative
0.0,0.0,0.0,0.0,0.0,3.64,3.38,0.54,0.54,0.0,0.0,0.54,3.63,4.43,0.8,0.0,Negative
0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.07,0.0,0.78,1.63,0.85,Positive
0.0,0.0,0.16,0.2,0.16,0.47,1.18,0.0,0.0,0.0,1.18,0.0,0.16,1.45,1.65,0.36,Positive
0.0,0.0,0.0,0.0,0.0,1.31,0.0,0.65,0.65,0.0,0.65,0.65,1.97,1.97,0.65,0.0,Positive
0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,1.69,0.0,1.69,1.69,0.26,0.26,Positive
0.0,0.0,0.77,0.0,0.77,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.77,0.62,1.04,1.18,Neutral
0.0,0.0,0.0,0.0,0.0,1.91,1.76,0.0,0.0,0.0,0.0,0.0,0.0,1.91,1.91,0.0,Neutral
0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,1.83,1.83,0.17,0.17,Neutral
0.0,0.0,0.0,0.0,0.0,1.89,1.89,0.0,0.0,0.0,0.0,0.0,1.89,1.89,0.0,0.0,Neutral
0.0,0.0,0.0,1.36,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,1.36,1.42,1.42,1.36,Negative
1.23,0.0,0.52,0.0,0.31,1.89,1.81,0.0,0.0,0.0,0.0,0.0,1.58,2.22,2.19,1.54,Negative
0.0,0.0,0.0,0.28,0.0,3.67,0.0,0.0,0.0,0.0,0.0,0.0,3.67,3.67,0.28,0.28,Negative
0.0,0.0,0.0,0.0,0.0,3.1,3.24,0.0,0.0,0.0,0.0,0.0,2.34,3.91,1.57,0.0,Negative
0.0,0.0,0.47,0.0,0.0,0.55,1.03,0.0,0.0,0.15,0.0,0.15,1.1,1.18,1.03,0.95,Negative
0.0,0.0,0.0,0.0,0.0,2.1,2.1,0.0,0.35,0.0,0.35,0.0,0.0,2.45,2.45,0.0,Negative
0.0,0.0,0.0,0.0,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,2.16,2.16,0.0,0.0,Negative
0.0,0.0,0.0,0.0,0.0,2.24,2.24,0.0,0.0,0.0,0.0,0.0,2.24,2.24,0.22,0.22,Negative
0.63,0.0,0.86,0.0,0.86,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.82,1.17,1.21,0.86,Negative
0.17,0.0,0.17,0.0,0.0,1.81,1.28,0.0,0.0,0.0,0.0,0.0,1.82,1.81,1.6,0.17,Negative
0.0,0.0,0.0,0.0,0.0,1.97,0.37,0.0,0.0,0.0,0.0,0.0,1.59,1.97,0.38,0.0,Negative
0.0,0.0,0.0,0.94,0.0,1.12,1.12,0.0,0.0,0.0,0.0,0.0,2.05,1.12,0.0,0.94,Negative
0.0,0.0,0.0,0.73,0.75,1.05,0.68,0.0,0.6,0.23,0.6,0.23,1.95,2.31,1.58,1.22,Negative
0.25,0.0,0.32,0.0,0.63,0.52,2.4,0.0,0.0,0.0,1.88,0.0,2.51,2.4,2.71,0.95,Negative
0.0,0.0,0.0,0.37,0.0,3.34,0.0,0.0,0.0,0.0,0.0,0.0,3.34,3.86,0.88,0.37,Negative
0.0,0.0,0.0,0.0,0.0,3.96,3.96,0.0,0.0,0.0,0.0,0.27,3.96,4.23,0.27,0.0,Negative
0.0,0.0,0.0,1.47,0.0,0.0,0.6,0.0,0.0,0.0,0.6,0.0,1.32,0.6,1.47,1.47,Positive
0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,1.98,0.0,0.12,2.1,1.98,0.0,Positive
0.0,0.0,0.0,0.18,0.0,2.13,2.13,0.0,0.0,0.0,0.0,0.0,2.32,2.13,0.0,0.18,Positive
0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0,0.0,0.0,2.12,0.0,2.3,2.3,0.0,0.0,Positive
0.0,0.0,0.37,0.0,0.0,0.37,0.81,0.0,0.32,0.0,0.78,0.0,1.57,1.49,0.71,0.78,Neutral
0.0,0.0,0.0,0.15,0.0,2.41,2.41,0.0,0.0,0.0,0.0,0.0,0.0,2.56,2.56,0.0,Neutral
0.0,0.0,0.0,0.0,0.0,2.36,2.36,0.0,0.0,0.0,0.0,0.0,2.36,2.36,0.2,0.2,Neutral
0.0,0.0,0.0,0.0,0.0,2.51,2.51,0.0,0.0,0.0,0.0,0.0,2.51,2.51,0.0,0.0,Neutral
0.0,0.0,0.0,0.0,0.0,0.18,0.18,1.57,1.57,0.15,1.57,0.15,0.33,1.9,1.9,0.33,Negative
0.22,0.0,0.0,0.37,0.22,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.22,1.7,2.06,0.58,Negative
0.0,0.0,0.0,0.2,0.0,2.06,0.97,0.0,0.0,0.0,0.0,0.0,2.21,1.87,0.0,0.35,Negative
0.0,0.0,0.0,0.0,0.0,2.17,0.82,0.0,0.0,0.0,0.0,0.0,2.17,2.17,1.35,0.0,Negative
0.0,0.0,0.43,0.6,0.43,0.6,1.42,0.0,0.57,0.0,0.45,0.0,1.29,1.42,1.42,1.29,Negative
1.4,0.0,0.2,0.0,0.88,1.02,0.97,0.0,0.0,0.0,0.23,0.0,0.16,0.97,2.85,1.6,Negative
0.0,0.0,0.06,0.06,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.06,3.03,0.0,0.06,Negative
0.0,0.0,0.0,0.0,0.0,2.96,2.96,0.0,0.0,0.0,0.0,0.1,2.96,2.96,0.0,0.0,Negative
