AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper,class
0.0,0.0,0.0,0.12,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,1.52,1.52,0.12,0.12,Negative
0.0,0.0,0.0,0.0,0.0,1.65,1.88,0.0,0.0,0.0,0.0,0.0,0.23,1.88,1.65,0.0,Negative
0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,1.42,1.55,0.13,0.0,Positive
0.0,0.0,0.0,0.13,0.0,1.55,1.67,0.0,0.0,0.0,0.0,0.0,0.34,1.67,1.48,0.16,Neutral
0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,1.68,0.0,1.68,0.0,0.0,1.81,1.81,0.0,Negative
0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,1.82,0.0,0.35,1.92,1.92,0.35,Negative
0.0,0.0,0.0,0.0,0.0,1.98,1.82,0.0,0.0,0.0,0.0,0.0,1.88,1.98,0.17,0.07,Negative
0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,1.12,0.0,1.57,1.57,0.0,0.0,Negative
0.0,0.0,0.0,0.0,0.0,0.12,2.29,0.0,0.0,0.0,2.29,0.0,2.29,2.4,0.12,0.0,Positive
0.0,0.0,0.0,0.13,0.0,0.67,0.78,0.0,0.0,0.0,0.78,0.0,1.91,1.46,0.52,0.97,Neutral
0.0,0.0,0.0,1.08,0.0,1.23,0.98,0.0,0.0,0.0,0.98,0.0,1.23,1.13,0.98,1.08,Negative
0.0,0.0,0.0,0.0,0.18,1.07,1.68,0.0,0.0,0.0,1.08,0.0,0.6,2.6,2.33,0.33,Negative
0.0,0.0,0.0,0.37,0.0,0.0,0.37,0.0,2.24,0.0,2.61,0.0,2.97,2.72,0.12,0.37,Negative
0.0,0.0,0.0,0.0,0.0,0.73,2.08,0.0,0.0,0.0,1.86,0.0,1.83,2.08,0.98,0.73,Negative
0.0,0.0,0.42,0.42,0.0,0.0,2.65,0.0,0.0,0.0,0.38,0.0,0.42,2.65,2.65,0.42,Positive
0.0,0.0,0.0,0.0,0.2,0.0,2.45,0.0,0.0,0.0,2.45,0.0,2.98,2.45,0.0,0.53,Neutral
0.0,0.0,0.0,0.15,0.0,0.8,5.26,0.0,0.0,0.0,5.26,0.0,0.85,5.36,3.26,0.8,Negative
0.0,0.0,0.0,0.83,0.52,0.83,2.12,0.0,0.0,0.0,1.93,0.0,1.02,2.12,2.45,1.36,Negative
0.0,0.0,0.0,0.12,0.0,0.0,4.31,0.0,0.0,0.0,4.31,0.0,0.0,4.31,4.43,0.12,Negative
0.43,0.0,0.12,0.12,0.43,0.63,2.1,0.0,0.0,0.0,2.1,0.0,1.18,2.1,2.1,1.18,Negative
0.0,0.0,0.0,0.2,0.0,0.28,1.1,0.0,1.85,0.0,1.85,0.75,2.33,1.85,0.0,0.48,Positive
0.0,0.0,0.0,0.32,0.0,0.18,2.98,0.0,2.53,0.0,2.81,0.0,3.74,2.98,0.17,0.92,Neutral
0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.08,2.56,0.08,2.48,2.56,0.88,2.56,0.08,0.88,Negative
0.0,0.0,0.0,0.55,0.0,0.38,1.4,0.0,0.0,0.6,0.9,0.6,0.0,2.0,2.17,0.55,Negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,1.7,1.62,1.7,0.08,1.7,1.62,0.0,Negative
0.0,0.0,0.0,0.6,0.0,0.25,0.4,0.65,0.65,0.65,0.4,0.65,0.35,1.05,0.92,0.6,Negative
0.0,0.0,0.0,0.0,0.0,0.15,0.27,0.0,1.3,1.3,1.3,1.3,0.49,1.72,1.3,0.07,Positive
0.0,0.0,0.0,0.19,0.0,0.0,0.12,1.72,1.72,1.72,0.0,1.72,0.32,1.83,1.83,0.32,Neutral
0.0,0.0,0.0,0.12,0.0,0.53,1.95,0.0,0.0,0.0,1.53,0.0,0.0,1.95,2.07,0.12,Negative
0.0,0.0,0.0,0.15,0.0,0.0,1.1,0.0,0.0,1.52,0.0,0.62,0.0,1.72,2.55,0.83,Negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,2.31,2.31,0.0,2.31,2.31,0.0,Negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.07,1.22,0.4,1.22,0.35,1.33,1.22,0.4,Negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,2.15,2.15,2.15,0.0,2.15,2.25,0.1,Positive
0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.28,0.28,0.28,1.28,0.28,0.44,1.57,1.57,0.44,Neutral
0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.48,1.92,1.92,1.45,1.92,2.22,1.92,0.12,0.42,Negative
0.0,0.0,0.84,0.0,0.84,0.0,0.73,0.0,0.0,0.0,0.73,0.0,0.0,0.73,0.73,0.84,Negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,1.97,1.97,0.0,Negative
0.17,0.0,0.0,0.0,0.0,0.15,0.32,0.0,0.0,0.0,1.72,0.0,1.72,1.72,0.47,0.47,Negative
0.0,0.0,0.0,0.0,0.0,0.0,0.38,1.48,0.0,1.48,1.48,1.48,0.38,1.87,1.48,0.0,Positive
0.0,0.0,0.0,0.94,0.0,0.2,2.1,0.2,0.2,0.2,0.0,0.2,0.94,2.5,2.05,1.04,Neutral
0.0,0.0,0.0,0.77,0.0,0.0,1.33,0.0,0.0,0.0,1.33,0.0,0.69,1.33,1.33,0.89,Negative
0.17,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.51,0.0,0.0,1.42,1.97,0.55,Negative
0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,1.36,0.0,0.0,1.76,0.68,0.28,Negative
0.0,0.0,0.0,0.32,0.0,0.32,1.08,0.0,0.63,0.0,0.63,0.63,0.0,1.71,1.08,0.32,Negative
