AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper,class
0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,2.58,0.33,0.0,2.25,Negative
0.0,0.0,0.0,0.12,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,1.52,1.52,0.12,0.12,Negative
0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,2.55,0.0,Negative
0.0,0.0,0.0,0.64,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.64,1.82,1.42,Negative
0.0,0.0,0.0,1.05,0.0,1.3,0.63,0.38,0.38,0.0,0.73,0.38,0.83,1.78,1.33,0.28,Negative
0.0,0.0,0.0,0.22,0.0,0.89,0.0,0.0,1.37,0.0,1.37,0.0,2.25,2.03,0.0,0.22,Negative
0.0,0.0,0.0,0.0,0.0,0.94,0.2,1.12,1.37,0.22,1.23,0.65,2.18,2.39,0.22,0.0,Negative
0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Negative
0.0,0.0,0.0,0.0,0.0,1.65,1.88,0.0,0.0,0.0,0.0,0.0,0.23,1.88,1.65,0.0,Negative
0.0,0.0,0.0,0.0,0.0,1.63,1.5,0.0,0.0,0.0,0.0,0.0,0.13,1.88,1.75,0.0,Negative
0.0,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.5,0.35,1.97,Negative
0.0,0.0,0.0,0.0,0.0,1.7,0.43,0.0,0.0,0.0,0.0,0.0,1.93,2.15,0.22,0.0,Negative
0.0,0.0,0.0,0.0,0.0,1.87,1.47,0.0,0.0,0.0,0.0,0.0,1.47,2.09,0.62,0.0,Negative
0.0,0.0,0.0,0.0,0.0,1.66,1.5,0.0,0.0,0.0,0.0,0.0,1.66,1.66,0.0,0.0,Negative
0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,1.94,Negative
0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,1.42,1.55,0.13,0.0,Positive
0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,1.79,0.0,Positive
0.93,0.0,0.0,0.57,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,1.51,2.24,Positive
0.18,0.0,0.18,0.0,0.0,0.18,0.2,0.0,0.0,0.0,0.2,0.0,0.18,0.38,0.57,0.18,Positive
0.0,0.0,0.0,0.0,0.2,1.52,1.52,0.0,0.0,0.0,0.0,0.0,1.72,1.52,1.52,0.2,Positive
0.0,0.0,0.0,0.0,0.0,0.18,1.25,0.25,0.25,0.0,1.5,0.25,1.5,1.68,0.18,0.0,Positive
0.98,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,0.0,0.0,1.68,Positive
0.0,0.0,0.0,0.13,0.0,1.55,1.67,0.0,0.0,0.0,0.0,0.0,0.34,1.67,1.48,0.16,Neutral
0.0,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.97,1.87,0.0,Neutral
0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,1.51,1.97,Neutral
0.53,0.0,0.53,0.0,0.0,0.87,0.87,0.0,0.0,0.0,0.0,0.0,1.4,0.87,1.26,0.93,Neutral
0.17,0.0,0.0,0.0,0.0,2.21,2.21,0.0,0.0,0.0,0.0,0.0,0.17,2.21,2.21,0.17,Neutral
0.0,0.0,0.0,0.0,0.0,1.65,1.5,0.0,0.0,0.0,0.0,0.0,1.59,1.65,1.57,0.0,Neutral
