AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper,class
0.0,0.0,0.0,0.64,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.64,1.82,1.42,Negative
0.0,0.0,0.0,1.05,0.0,1.3,0.63,0.38,0.38,0.0,0.73,0.38,0.83,1.78,1.33,0.28,Negative
0.0,0.0,0.0,0.14,0.0,2.34,0.86,0.0,0.0,0.0,0.0,0.0,0.86,2.34,1.47,0.0,Negative
0.0,0.0,0.26,0.89,0.0,1.53,0.64,0.0,0.0,0.0,0.0,0.0,0.45,0.64,2.02,1.83,Negative
0.0,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.5,0.35,1.97,Negative
0.0,0.0,0.0,0.0,0.0,1.7,0.43,0.0,0.0,0.0,0.0,0.0,1.93,2.15,0.22,0.0,Negative
0.0,0.0,0.0,0.11,0.0,2.32,2.21,0.0,0.0,0.0,0.0,0.0,0.27,2.47,2.21,0.0,Negative
0.0,0.0,0.07,0.73,0.07,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.07,0.26,2.02,1.82,Negative
0.93,0.0,0.0,0.57,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,1.51,2.24,Positive
0.18,0.0,0.18,0.0,0.0,0.18,0.2,0.0,0.0,0.0,0.2,0.0,0.18,0.38,0.57,0.18,Positive
0.0,0.0,0.0,0.0,0.0,2.13,0.0,0.0,0.0,0.0,0.0,0.0,2.13,2.42,0.29,0.0,Positive
0.0,0.0,0.0,1.39,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,2.14,1.56,Positive
0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,1.51,1.97,Neutral
0.53,0.0,0.53,0.0,0.0,0.87,0.87,0.0,0.0,0.0,0.0,0.0,1.4,0.87,1.26,0.93,Neutral
0.0,0.0,0.0,0.17,0.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.62,1.86,2.04,0.17,Neutral
0.57,0.0,0.57,0.13,0.57,1.0,0.59,0.0,0.0,0.0,0.0,0.0,0.57,1.13,1.13,0.57,Neutral
