AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper,class
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.87,0.0,0.62,0.87,1.18,0.93,Negative
0.52,0.0,0.52,0.0,0.0,0.33,1.17,0.0,0.0,0.0,0.1,0.0,0.52,1.17,1.17,0.52,Negative
0.0,0.0,0.0,0.22,0.0,0.89,0.0,0.0,1.37,0.0,1.37,0.0,2.25,2.03,0.0,0.22,Negative
0.0,0.0,0.0,0.0,0.0,0.94,0.2,1.12,1.37,0.22,1.23,0.65,2.18,2.39,0.22,0.0,Negative
0.0,0.0,0.0,0.0,0.0,0.27,0.78,0.0,0.2,0.0,0.71,0.0,0.71,0.98,1.32,1.05,Negative
0.75,0.0,0.53,0.0,0.0,0.93,1.3,0.0,0.0,0.0,0.0,0.0,0.75,1.3,1.3,0.75,Negative
0.0,0.0,0.0,0.0,0.0,1.87,1.47,0.0,0.0,0.0,0.0,0.0,1.47,2.09,0.62,0.0,Negative
0.0,0.0,0.0,0.0,0.0,1.66,1.5,0.0,0.0,0.0,0.0,0.0,1.66,1.66,0.0,0.0,Negative
0.0,0.0,0.0,0.0,0.0,1.7,0.52,0.0,0.0,0.0,0.0,0.0,1.63,1.7,0.52,0.45,Positive
0.36,0.0,0.32,0.0,0.0,1.52,0.42,0.0,0.0,0.0,0.0,0.0,1.58,1.52,0.57,0.51,Positive
0.0,0.0,0.0,0.0,0.2,1.52,1.52,0.0,0.0,0.0,0.0,0.0,1.72,1.52,1.52,0.2,Positive
0.0,0.0,0.0,0.0,0.0,0.18,1.25,0.25,0.25,0.0,1.5,0.25,1.5,1.68,0.18,0.0,Positive
0.0,0.0,0.5,0.0,0.5,0.6,0.94,0.0,0.0,0.0,0.34,0.0,0.9,0.94,0.94,0.9,Neutral
0.83,0.0,0.68,0.0,0.0,1.07,1.07,0.0,0.0,0.0,0.0,0.0,0.83,1.07,1.07,0.83,Neutral
0.17,0.0,0.0,0.0,0.0,2.21,2.21,0.0,0.0,0.0,0.0,0.0,0.17,2.21,2.21,0.17,Neutral
0.0,0.0,0.0,0.0,0.0,1.65,1.5,0.0,0.0,0.0,0.0,0.0,1.59,1.65,1.57,0.0,Neutral
0.0,0.0,0.0,0.68,0.0,0.35,0.77,0.0,0.0,0.0,0.77,0.0,1.45,1.12,0.35,0.68,Negative
0.0,0.0,0.75,0.15,0.0,0.63,0.18,0.12,0.23,0.12,0.12,0.12,0.9,0.87,0.87,0.9,Negative
0.0,0.0,0.0,0.2,0.0,1.7,1.5,0.0,0.0,0.0,0.0,0.0,1.87,1.7,0.0,0.17,Negative
0.0,0.0,0.0,0.0,0.0,1.49,1.56,0.0,0.0,0.0,0.0,0.0,0.18,1.67,1.49,0.0,Negative
0.0,0.0,0.43,0.0,0.0,0.33,0.58,0.0,0.52,0.0,1.1,0.0,1.04,1.43,1.1,0.71,Negative
0.37,0.0,0.53,0.0,0.0,0.62,1.28,0.0,0.0,0.0,0.0,0.0,0.37,1.28,1.82,0.91,Negative
0.0,0.0,0.0,0.0,0.0,2.74,0.0,0.0,0.0,0.0,0.0,0.0,2.74,2.74,0.0,0.0,Negative
0.0,0.0,0.0,0.0,0.0,0.23,1.86,0.0,0.0,0.0,0.0,0.0,0.67,1.86,1.19,0.0,Negative
0.33,0.0,0.82,0.0,0.48,1.1,1.1,0.0,0.0,0.0,0.0,0.0,1.92,1.1,0.47,1.28,Negative
