AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper,class
0.0,0.0,0.47,0.0,0.0,0.55,1.03,0.0,0.0,0.15,0.0,0.15,1.1,1.18,1.03,0.95,Negative
0.0,0.0,0.0,0.0,1.29,0.82,0.72,0.0,0.0,0.0,0.0,0.0,2.22,0.93,0.0,1.29,Negative
0.0,0.0,0.0,0.0,0.0,2.1,2.1,0.0,0.35,0.0,0.35,0.0,0.0,2.45,2.45,0.0,Negative
0.0,0.38,0.78,0.0,1.16,1.07,0.0,0.0,0.0,0.0,0.0,0.0,2.23,1.07,0.0,1.16,Negative
0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.39,2.39,0.0,Negative
1.35,0.0,1.32,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,1.61,2.04,Negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,2.26,0.0,Negative
0.0,0.0,0.66,0.0,0.66,1.37,0.55,0.0,0.0,0.0,0.0,0.0,0.66,1.37,1.73,1.02,Negative
0.0,0.0,0.0,0.1,0.0,0.85,1.12,0.0,0.0,0.0,0.0,0.0,0.55,1.32,1.22,0.45,Negative
0.0,0.0,0.0,0.0,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,2.16,2.16,0.0,0.0,Negative
0.0,0.0,0.0,1.63,0.0,2.17,0.0,0.16,0.0,0.0,0.0,0.0,2.17,2.33,0.16,0.0,Negative
1.24,0.0,0.43,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,2.39,Negative
0.0,0.0,0.13,0.0,0.13,0.66,0.07,0.37,1.3,0.0,1.37,0.0,0.77,2.02,2.28,0.26,Negative
0.0,0.0,0.05,0.62,0.0,2.47,2.47,0.0,0.0,0.0,0.0,0.0,3.13,2.47,0.62,0.67,Negative
0.0,0.0,0.0,0.07,0.0,0.0,0.49,0.07,0.16,0.0,0.65,0.0,0.41,0.85,0.92,0.48,Negative
0.74,0.0,0.28,0.0,0.28,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.55,0.62,1.02,Negative
0.0,0.0,0.0,0.0,0.0,2.24,2.24,0.0,0.0,0.0,0.0,0.0,2.24,2.24,0.22,0.22,Negative
0.0,0.0,2.31,0.0,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,0.0,0.18,2.64,Negative
0.0,0.0,0.0,0.0,0.0,0.18,0.18,1.57,1.57,0.15,1.57,0.15,0.33,1.9,1.9,0.33,Negative
0.0,0.0,0.0,0.0,0.0,1.32,1.4,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.0,0.0,Negative
0.22,0.0,0.0,0.37,0.22,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.22,1.7,2.06,0.58,Negative
0.0,0.0,0.42,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,0.0,0.87,3.09,Negative
0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,3.28,3.28,0.0,Negative
0.9,0.0,0.98,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.15,1.45,1.88,Negative
0.0,0.0,0.0,0.0,0.07,0.82,0.55,0.0,0.0,0.0,0.0,0.0,0.0,1.57,1.63,0.07,Negative
0.57,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,2.07,Negative
0.0,0.0,0.0,0.0,0.0,0.33,0.98,0.0,0.0,0.0,0.0,0.0,0.0,1.45,2.13,0.68,Negative
0.0,0.0,0.0,0.2,0.0,2.06,0.97,0.0,0.0,0.0,0.0,0.0,2.21,1.87,0.0,0.35,Negative
0.0,0.0,0.0,0.94,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.15,0.3,2.1,Negative
0.0,0.0,0.0,1.35,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.67,0.31,1.63,Negative
0.0,0.0,0.0,0.61,0.0,1.08,0.57,0.0,0.11,0.0,0.11,0.0,1.35,1.76,0.91,0.5,Negative
0.0,0.0,0.0,0.0,0.29,0.36,0.19,0.0,0.0,0.0,0.0,0.0,2.62,0.55,0.09,2.17,Negative
0.0,0.0,0.0,0.12,0.0,0.12,0.11,0.0,0.0,0.0,0.11,0.0,0.22,0.11,0.0,0.12,Negative
0.67,0.0,0.17,0.0,0.07,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.85,0.4,0.67,0.95,Negative
0.0,0.0,0.0,0.0,0.0,2.17,0.82,0.0,0.0,0.0,0.0,0.0,2.17,2.17,1.35,0.0,Negative
2.06,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,0.0,0.0,2.24,Negative
0.0,0.0,0.43,0.6,0.43,0.6,1.42,0.0,0.57,0.0,0.45,0.0,1.29,1.42,1.42,1.29,Negative
0.0,0.0,0.0,0.0,0.0,0.35,2.46,0.0,0.38,0.0,2.5,0.0,0.0,2.85,2.85,0.0,Negative
1.4,0.0,0.2,0.0,0.88,1.02,0.97,0.0,0.0,0.0,0.23,0.0,0.16,0.97,2.85,1.6,Negative
0.0,0.0,0.0,0.0,0.0,2.45,0.41,0.0,0.0,0.23,0.0,0.23,2.17,1.38,0.75,0.8,Negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.18,0.0,0.18,3.23,3.05,Negative
0.0,0.0,0.0,1.8,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.18,0.43,0.0,1.98,2.41,Negative
0.0,0.0,0.0,0.0,0.0,0.72,0.37,0.0,0.0,0.0,0.0,0.0,0.35,1.33,2.82,1.84,Negative
0.53,0.0,0.0,0.0,0.23,0.0,0.0,0.08,0.18,0.27,0.0,0.27,0.0,0.27,2.04,1.77,Negative
0.0,0.0,0.0,0.0,0.42,1.08,2.22,0.0,0.0,0.0,0.15,0.0,0.15,2.22,2.48,0.42,Negative
0.0,0.0,0.06,0.06,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.06,3.03,0.0,0.06,Negative
0.0,0.0,0.0,0.48,0.0,3.08,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.7,1.02,2.47,Negative
0.33,0.0,0.0,0.42,0.24,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.49,2.71,2.34,Negative
0.68,0.0,0.0,0.0,0.07,0.23,1.08,0.0,0.16,0.0,0.89,0.0,0.0,1.08,2.11,1.02,Negative
0.27,0.0,0.18,0.0,0.7,0.43,1.13,0.0,0.0,0.0,0.0,0.0,2.06,1.57,1.97,2.46,Negative
0.0,0.0,0.0,0.0,0.0,0.62,2.05,0.0,0.08,0.0,0.71,0.0,0.0,2.05,1.95,0.0,Negative
0.47,0.0,0.51,0.0,1.59,1.48,0.83,0.0,0.0,0.0,0.0,0.0,1.57,1.48,2.01,2.1,Negative
0.0,0.0,0.0,0.0,0.0,2.96,2.96,0.0,0.0,0.0,0.0,0.1,2.96,2.96,0.0,0.0,Negative
0.0,0.0,3.09,0.0,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,0.0,0.18,3.09,Negative
0.0,0.0,0.0,0.0,0.0,1.03,1.7,0.0,0.8,0.0,1.45,0.0,0.99,1.7,1.7,0.99,Negative
0.0,0.0,0.0,1.18,0.0,0.42,1.68,0.0,0.0,0.0,1.68,0.0,1.18,1.68,1.68,1.18,Negative
0.77,0.0,1.38,0.0,1.76,0.0,0.65,0.0,0.0,0.0,0.2,0.0,1.89,0.65,0.82,2.26,Negative
0.15,0.0,0.0,0.32,0.43,1.43,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.38,0.18,1.77,Negative
0.0,0.0,0.0,0.12,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.22,Negative
0.0,0.0,0.68,0.58,0.68,0.32,0.32,0.0,0.0,0.0,0.0,0.0,0.57,0.32,1.85,2.28,Negative
0.0,0.0,0.0,0.97,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,1.43,1.5,1.48,1.42,Negative
